,date,predictions
648,2018-10-11,62.309196
649,2018-10-12,61.959335
650,2018-10-13,61.71918
651,2018-10-14,61.57359
652,2018-10-15,61.504257
653,2018-10-16,61.494015
654,2018-10-17,61.52601
655,2018-10-18,61.582977
656,2018-10-19,61.646664
657,2018-10-20,61.68889
658,2018-10-21,61.683277
659,2018-10-22,61.611202
660,2018-10-23,61.45985
661,2018-10-24,61.2184
662,2018-10-25,60.8878
663,2018-10-26,60.483635
664,2018-10-27,60.039623
665,2018-10-28,59.600895
666,2018-10-29,59.21068
667,2018-10-30,58.896667
668,2018-10-31,58.662388
669,2018-11-01,58.484024
670,2018-11-02,58.317177
671,2018-11-03,58.110092
672,2018-11-04,57.824306
673,2018-11-05,57.45086
674,2018-11-06,57.01327
675,2018-11-07,56.553375
676,2018-11-08,56.112324
677,2018-11-09,55.71621
678,2018-11-10,55.37211
679,2018-11-11,55.07146
680,2018-11-12,54.79809
681,2018-11-13,54.52831
682,2018-11-14,54.228497
683,2018-11-15,53.858456
684,2018-11-16,53.38273
685,2018-11-17,52.78396
686,2018-11-18,52.06931
687,2018-11-19,51.261932
688,2018-11-20,50.394466
689,2018-11-21,49.5084
690,2018-11-22,48.650932
691,2018-11-23,47.871773
692,2018-11-24,47.219883
693,2018-11-25,46.740875
694,2018-11-26,46.462936
695,2018-11-27,46.382446
696,2018-11-28,46.457916
697,2018-11-29,46.616104
698,2018-11-30,46.772896
699,2018-12-01,46.86054
700,2018-12-02,46.838936
701,2018-12-03,46.69443
702,2018-12-04,46.436535
703,2018-12-05,46.092445
704,2018-12-06,45.70559
705,2018-12-07,45.328915
706,2018-12-08,45.0106
707,2018-12-09,44.78456
708,2018-12-10,44.666065
709,2018-12-11,44.65305
710,2018-12-12,44.726906
711,2018-12-13,44.85969
712,2018-12-14,45.024178
713,2018-12-15,45.20479
714,2018-12-16,45.397446
715,2018-12-17,45.600754
716,2018-12-18,45.81108
717,2018-12-19,46.0211
718,2018-12-20,46.22023
719,2018-12-21,46.393753
720,2018-12-22,46.53118
721,2018-12-23,46.631924
722,2018-12-24,46.706192
723,2018-12-25,46.77163
724,2018-12-26,46.847523
725,2018-12-27,46.94122
726,2018-12-28,47.047657
727,2018-12-29,47.14702
728,2018-12-30,47.206814
729,2018-12-31,47.182556
730,2019-01-01,47.025116
731,2019-01-02,46.6971
732,2019-01-03,46.18981
733,2019-01-04,45.530243
734,2019-01-05,44.778812
735,2019-01-06,44.010128
736,2019-01-07,43.289642
737,2019-01-08,42.65786
738,2019-01-09,42.120506
739,2019-01-10,41.65834
740,2019-01-11,41.245182
741,2019-01-12,40.863834
742,2019-01-13,40.51581
743,2019-01-14,40.211933
744,2019-01-15,39.96349
745,2019-01-16,39.77865
746,2019-01-17,39.664722
747,2019-01-18,39.630432
748,2019-01-19,39.683636
749,2019-01-20,39.829037
750,2019-01-21,40.06827
751,2019-01-22,40.393253
752,2019-01-23,40.781445
753,2019-01-24,41.201187
754,2019-01-25,41.620613
755,2019-01-26,42.012604
756,2019-01-27,42.358288
757,2019-01-28,42.648342
758,2019-01-29,42.882633
759,2019-01-30,43.07238
760,2019-01-31,43.23895
761,2019-02-01,43.399372
762,2019-02-02,43.56184
763,2019-02-03,43.72449
764,2019-02-04,43.877064
765,2019-02-05,44.010906
766,2019-02-06,44.12281
767,2019-02-07,44.21426
768,2019-02-08,44.298492
769,2019-02-09,44.404396
770,2019-02-10,44.568382
771,2019-02-11,44.81995
772,2019-02-12,45.170403
773,2019-02-13,45.607273
774,2019-02-14,46.09065
775,2019-02-15,46.5658
776,2019-02-16,46.97196
777,2019-02-17,47.249207
778,2019-02-18,47.35266
779,2019-02-19,47.261982
780,2019-02-20,46.981903
781,2019-02-21,46.53729
782,2019-02-22,45.977787
783,2019-02-23,45.370686
784,2019-02-24,44.7834
785,2019-02-25,44.26707
786,2019-02-26,43.85227
787,2019-02-27,43.548584
788,2019-02-28,43.34545
789,2019-03-01,43.21737
790,2019-03-02,43.137405
791,2019-03-03,43.088905
792,2019-03-04,43.073223
793,2019-03-05,43.1051
794,2019-03-06,43.196884
795,2019-03-07,43.346287
796,2019-03-08,43.53677
797,2019-03-09,43.757652
798,2019-03-10,44.013912
799,2019-03-11,44.322765
800,2019-03-12,44.717033
801,2019-03-13,45.230915
802,2019-03-14,45.88599
803,2019-03-15,46.687195
804,2019-03-16,47.61774
805,2019-03-17,48.644955
806,2019-03-18,49.727226
807,2019-03-19,50.812626
808,2019-03-20,51.840607
809,2019-03-21,52.75268
810,2019-03-22,53.507256
811,2019-03-23,54.084732
812,2019-03-24,54.48401
813,2019-03-25,54.722305
814,2019-03-26,54.839344
815,2019-03-27,54.892635
816,2019-03-28,54.94494
817,2019-03-29,55.0416
818,2019-03-30,55.203995
819,2019-03-31,55.43878
820,2019-04-01,55.752842
821,2019-04-02,56.15578
822,2019-04-03,56.65128
823,2019-04-04,57.234093
824,2019-04-05,57.87959
825,2019-04-06,58.544315
826,2019-04-07,59.17737
827,2019-04-08,59.735855
828,2019-04-09,60.190384
829,2019-04-10,60.528694
830,2019-04-11,60.75732
831,2019-04-12,60.89133
832,2019-04-13,60.95363
833,2019-04-14,60.97561
834,2019-04-15,60.990818
835,2019-04-16,61.02301
836,2019-04-17,61.087185
837,2019-04-18,61.187008
838,2019-04-19,61.319798
839,2019-04-20,61.47372
840,2019-04-21,61.628933
841,2019-04-22,61.761265
842,2019-04-23,61.847443
843,2019-04-24,61.87244
844,2019-04-25,61.82934
845,2019-04-26,61.722652
846,2019-04-27,61.570465
847,2019-04-28,61.40322
848,2019-04-29,61.253902
849,2019-04-30,61.155926
850,2019-05-01,61.138817
851,2019-05-02,61.22554
852,2019-05-03,61.431866
853,2019-05-04,61.76367
854,2019-05-05,62.22246
855,2019-05-06,62.799377
856,2019-05-07,63.472584
857,2019-05-08,64.20745
858,2019-05-09,64.96189
859,2019-05-10,65.687454
860,2019-05-11,66.337975
861,2019-05-12,66.87406
862,2019-05-13,67.26915
863,2019-05-14,67.50631
864,2019-05-15,67.579575
865,2019-05-16,67.50145
866,2019-05-17,67.30763
867,2019-05-18,67.055824
868,2019-05-19,66.81274
869,2019-05-20,66.633484
870,2019-05-21,66.54731
871,2019-05-22,66.548744
872,2019-05-23,66.60257
873,2019-05-24,66.66491
874,2019-05-25,66.708824
875,2019-05-26,66.737915
876,2019-05-27,66.78484
877,2019-05-28,66.89677
878,2019-05-29,67.11573
879,2019-05-30,67.46021
880,2019-05-31,67.92248
881,2019-06-01,68.46927
882,2019-06-02,69.04664
883,2019-06-03,69.590126
884,2019-06-04,70.041405
885,2019-06-05,70.361786
886,2019-06-06,70.54138
887,2019-06-07,70.598816
888,2019-06-08,70.57386
889,2019-06-09,70.51757
890,2019-06-10,70.47814
891,2019-06-11,70.4907
892,2019-06-12,70.57211
893,2019-06-13,70.725975
894,2019-06-14,70.94674
895,2019-06-15,71.21909
896,2019-06-16,71.51918
897,2019-06-17,71.819534
898,2019-06-18,72.09541
899,2019-06-19,72.33134
900,2019-06-20,72.51625
901,2019-06-21,72.645386
902,2019-06-22,72.72349
903,2019-06-23,72.76378
904,2019-06-24,72.78691
905,2019-06-25,72.81537
906,2019-06-26,72.87146
907,2019-06-27,72.96675
908,2019-06-28,73.096436
909,2019-06-29,73.24459
910,2019-06-30,73.391884
911,2019-07-01,73.523224
912,2019-07-02,73.63349
913,2019-07-03,73.72738
914,2019-07-04,73.81486
915,2019-07-05,73.90901
916,2019-07-06,74.02235
917,2019-07-07,74.16061
918,2019-07-08,74.32021
919,2019-07-09,74.48521
920,2019-07-10,74.62646
921,2019-07-11,74.71519
922,2019-07-12,74.7294
923,2019-07-13,74.665344
924,2019-07-14,74.5369
925,2019-07-15,74.37218
926,2019-07-16,74.20411
927,2019-07-17,74.061165
928,2019-07-18,73.96559
929,2019-07-19,73.93675
930,2019-07-20,73.985374
931,2019-07-21,74.117424
932,2019-07-22,74.32047
933,2019-07-23,74.56517
934,2019-07-24,74.80718
935,2019-07-25,75.002754
936,2019-07-26,75.11954
937,2019-07-27,75.14391
938,2019-07-28,75.07879
939,2019-07-29,74.945305
940,2019-07-30,74.77144
941,2019-07-31,74.59414
942,2019-08-01,74.44573
943,2019-08-02,74.346146
944,2019-08-03,74.30374
945,2019-08-04,74.31777
946,2019-08-05,74.3815
947,2019-08-06,74.48239
948,2019-08-07,74.60333
949,2019-08-08,74.72607
950,2019-08-09,74.83615
951,2019-08-10,74.92128
952,2019-08-11,74.97472
953,2019-08-12,74.99661
954,2019-08-13,74.9932
955,2019-08-14,74.97288
956,2019-08-15,74.94354
957,2019-08-16,74.91146
958,2019-08-17,74.87954
959,2019-08-18,74.84545
960,2019-08-19,74.80098
961,2019-08-20,74.73275
962,2019-08-21,74.62251
963,2019-08-22,74.45829
964,2019-08-23,74.23971
965,2019-08-24,73.978645
966,2019-08-25,73.69216
967,2019-08-26,73.40032
968,2019-08-27,73.12031
969,2019-08-28,72.86256
970,2019-08-29,72.63558
971,2019-08-30,72.446465
972,2019-08-31,72.30292
973,2019-09-01,72.21159
974,2019-09-02,72.17642
975,2019-09-03,72.19596
976,2019-09-04,72.263016
977,2019-09-05,72.36315
978,2019-09-06,72.46974
979,2019-09-07,72.55122
980,2019-09-08,72.57497
981,2019-09-09,72.52019
982,2019-09-10,72.38021
983,2019-09-11,72.15644
984,2019-09-12,71.85602
985,2019-09-13,71.484604
986,2019-09-14,71.04383
987,2019-09-15,70.53755
988,2019-09-16,69.985344
989,2019-09-17,69.42767
990,2019-09-18,68.91864
991,2019-09-19,68.51148
992,2019-09-20,68.24085
993,2019-09-21,68.11384
994,2019-09-22,68.109604
995,2019-09-23,68.18618
996,2019-09-24,68.295166
